"amazon link","i.s.b.n.","theatrical debut","title"
"B001UV4XUG","","2009-01-01 02:00:00 +1300","(500) Days of Summer"
"B00151QYE4","","2007-01-01 02:00:00 +1300","4 Months, 3 Weeks and 2 Days"
"B000056HEC","0792849221","1957-01-01 02:00:00 +1200","12 Angry Men"
"B0007PALZ2","1417011076","1996-01-05 02:00:00 +1300","12 Monkeys"
"B0001CNRRU","0783299532","2003-12-26 02:00:00 +1300","21 Grams"
"B00008K7AO","","2003-01-10 02:00:00 +1300","25th Hour"
"B00005JMA8","","2003-06-27 02:00:00 +1200","28 Days Later"
"B000TJBN80","","2007-05-11 02:00:00 +1200","28 Weeks Later"
"B00005JPLW","","2007-03-09 02:00:00 +1300","300"
"B00015N56U","","1984-01-01 02:00:00 +1300","1984"
"B001OQCV2E","","2009-07-10 00:00:00 +1200","2012"
"B002M36R28","","2008-01-01 02:00:00 +1300","A Christmas Tale"
"B00003CXXP","0783265638","2001-01-01 02:00:00 +1300","A.I. - Artificial Intelligence"
"B0026519O8","","","Absolute Power - Series One"
"B00262G9BO","","","Absolute Power - Series Two"
"B000UNYPGM","","1994-07-24 02:00:00 +1200","Absolutely Fabulous: Absolutely Everything"
"B000286RNE","079075830X","1985-09-13 02:00:00 +1200","After Hours"
"B00004Y62X","0792166914","1982-12-10 02:00:00 +1300","Airplane II: The Sequel"
"B0002ZMITY","078326870X","2002-01-01 02:00:00 +1300","Ali G Indahouse - The Movie"
"B00004ZBXW","","2000-01-01 02:00:00 +1300","Ali G, Aiii"
"B00005QB91","","2002-01-01 02:00:00 +1300","Ali G, Innit"
"B00335EQ0E","","1951-01-01 00:00:00 +1200","Alice in Wonderland"
"0767847105","0767847105","1999-01-01 02:00:00 +1300","All About My Mother"
"B00003CXMG","","2000-01-01 02:00:00 +1300","Almost Famous"
"B0000640VO","","2001-01-01 02:00:00 +1300","Amelie"
"B00003CWL6","0783241232","1999-01-01 02:00:00 +1300","American Beauty"
"B000E6ES9O","","2005-02-06 02:00:00 +1300","American Dad!, Vol. 1"
"B000NNK4DM","","2005-02-06 02:00:00 +1300","American Dad!, Vol. 2"
"B0012KSUTA","","","American Dad!, Vol. 3"
"B001RIZ7OI","","","American Dad!, Vol. 4"
"B0011HOEY4","","2007-01-01 02:00:00 +1300","American Gangster"
"6305313687","6305313687","1998-10-30 02:00:00 +1300","American History X"
"B000BT970Y","1417046449","2005-12-26 02:00:00 +1300","American Pie - Band Camp"
"B000JJSJPU","","2006-12-19 02:00:00 +1300","American Pie - The Naked Mile"
"B000031WD9","078323998X","1999-07-09 02:00:00 +1200","American Pie - Unrated"
"B000WC39KO","","2007-12-26 02:00:00 +1300","American Pie Presents: Beta House"
"B0009A40ES","","2000-04-14 02:00:00 +1200","American Psycho"
"B0000U0X20","0783123876","2003-09-12 02:00:00 +1200","American Splendor"
"B00005N8A9","1589710703","2000-01-01 02:00:00 +1300","Amores Perros"
"B00000JGPE","0790742241","1999-03-05 02:00:00 +1300","Analyze This"
"0767827724","0767827724","1972-08-22 02:00:00 +1200","And Now For Something Completely Different"
"B000EULSU2","","","Animals"
"6304907729","6304907729","1977-04-20 02:00:00 +1200","Annie Hall"
"B00005OWEG","0792178300","1979-08-15 02:00:00 +1200","Apocalypse Now Redux"
"B0000AQS81","0790784165","2000-12-30 02:00:00 +1300","Aqua Teen Hunger Force - Volume One"
"B0002WZRSG","078064834X","2000-12-30 02:00:00 +1300","Aqua Teen Hunger Force - Volume Three"
"B0001MZ7KA","078064736X","2000-12-30 02:00:00 +1300","Aqua Teen Hunger Force - Volume Two"
"B00005JPP2","","2007-04-13 02:00:00 +1200","Aqua Teen Hunger Force Colon Movie Film for Theaters for DVD"
"B000B5XOR0","0780652703","2000-12-30 02:00:00 +1300","Aqua Teen Hunger Force, Vol. 4"
